,LAT,LON,SOG,COG,Heading,VesselType
2020-01-01 14:10:00,36.8878,-75.87744,9.0,315.8,316.0,70.0
2020-01-01 14:10:30,36.8878,-75.87744,9.0,315.8,316.0,70.0
2020-01-01 14:11:00,36.8878,-75.87744,9.0,315.8,316.0,70.0
2020-01-01 14:11:30,36.8878,-75.87744,9.0,315.8,316.0,70.0
2020-01-01 14:12:00,36.88993,-75.87994,8.9,318.2,317.0,70.0
2020-01-01 14:12:30,36.88993,-75.87994,8.9,318.2,317.0,70.0
2020-01-01 14:13:00,36.89211,-75.8823,8.9,318.8,318.0,70.0
2020-01-01 14:13:30,36.89211,-75.8823,8.9,318.8,318.0,70.0
2020-01-01 14:14:00,36.89211,-75.8823,8.9,318.8,318.0,70.0
2020-01-01 14:14:30,36.89517,-75.8857,8.8,317.8,317.0,70.0
2020-01-01 14:15:00,36.89517,-75.8857,8.8,317.8,317.0,70.0
2020-01-01 14:15:30,36.89517,-75.8857,8.8,317.8,317.0,70.0
2020-01-01 14:16:00,36.89728,-75.88803,8.7,318.6,318.0,70.0
2020-01-01 14:16:30,36.89728,-75.88803,8.7,318.6,318.0,70.0
2020-01-01 14:17:00,36.89728,-75.88803,8.7,318.6,318.0,70.0
2020-01-01 14:17:30,36.90063,-75.89168,8.7,318.8,318.0,70.0
2020-01-01 14:18:00,36.90063,-75.89168,8.7,318.8,318.0,70.0
2020-01-01 14:18:30,36.90063,-75.89168,8.7,318.8,318.0,70.0
2020-01-01 14:19:00,36.90277,-75.89398,8.6,319.5,318.0,70.0
2020-01-01 14:19:30,36.90277,-75.89398,8.6,319.5,318.0,70.0
2020-01-01 14:20:00,36.90492,-75.89628,8.5,319.8,318.0,70.0
2020-01-01 14:20:30,36.90492,-75.89628,8.5,319.8,318.0,70.0
2020-01-01 14:21:00,36.90492,-75.89628,8.5,319.8,318.0,70.0
2020-01-01 14:21:30,36.90699,-75.89861,8.3,316.1,315.0,70.0
2020-01-01 14:22:00,36.90699,-75.89861,8.3,316.1,315.0,70.0
2020-01-01 14:22:30,36.90974,-75.90186,8.4,316.6,315.0,70.0
2020-01-01 14:23:00,36.90974,-75.90186,8.4,316.6,315.0,70.0
2020-01-01 14:23:30,36.90974,-75.90186,8.4,316.6,315.0,70.0
2020-01-01 14:24:00,36.90974,-75.90186,8.4,316.6,315.0,70.0
2020-01-01 14:24:30,36.9126,-75.90516,8.3,317.6,315.0,70.0
2020-01-01 14:25:00,36.9126,-75.90516,8.3,317.6,315.0,70.0
2020-01-01 14:25:30,36.9126,-75.90516,8.3,317.6,315.0,70.0
2020-01-01 14:26:00,36.91495,-75.90784,8.3,316.3,315.0,70.0
2020-01-01 14:26:30,36.91495,-75.90784,8.3,316.3,315.0,70.0
2020-01-01 14:27:00,36.91495,-75.90784,8.3,316.3,315.0,70.0
