,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselType
0,2020-01-01 14:10:56,36.97071,-76.11019,7.2,284.4,292.0,31.0
1,2020-01-01 14:12:05,36.97131,-76.11304,7.3,284.4,292.0,31.0
2,2020-01-01 14:13:15,36.97191,-76.11593,7.4,282.8,289.0,31.0
3,2020-01-01 14:15:05,36.97271,-76.12059,7.4,281.2,289.0,31.0
4,2020-01-01 14:16:55,36.97323,-76.12529,7.5,276.3,285.0,31.0
5,2020-01-01 14:18:55,36.97366,-76.13045,7.5,276.2,286.0,31.0
6,2020-01-01 14:20:06,36.97395,-76.13351,7.5,276.2,286.0,31.0
7,2020-01-01 14:22:15,36.97442,-76.13907,7.5,275.4,285.0,31.0
8,2020-01-01 14:23:25,36.97465,-76.14213,7.5,276.4,286.0,31.0
9,2020-01-01 14:25:06,36.97501,-76.14656,7.6,275.9,286.0,31.0
10,2020-01-01 14:26:15,36.97535,-76.14956,7.6,278.3,287.0,31.0
11,2020-01-01 14:28:06,36.97596,-76.1544,7.6,278.5,287.0,31.0
12,2020-01-01 14:29:15,36.97633,-76.15742,7.6,278.6,287.0,31.0
13,2020-01-01 14:30:16,36.97666,-76.16006,7.0,278.9,289.0,31.0
14,2020-01-01 14:31:26,36.97694,-76.16256,6.0,276.7,288.0,31.0
15,2020-01-01 14:32:35,36.97716,-76.16494,6.0,276.0,287.0,31.0
16,2020-01-01 14:33:46,36.97739,-76.16738,6.0,276.7,287.0,31.0
17,2020-01-01 14:34:56,36.97763,-76.1698,6.0,277.3,288.0,31.0
18,2020-01-01 14:36:56,36.97813,-76.17364,4.8,283.5,294.0,31.0
19,2020-01-01 14:38:36,36.97836,-76.17575,3.4,276.4,295.0,31.0
20,2020-01-01 14:41:36,36.97912,-76.17884,2.8,290.3,307.0,31.0
21,2020-01-01 14:42:52,36.97943,-76.17922,1.0,257.5,128.0,31.0
22,2020-01-01 14:44:08,36.9795,-76.17969,0.1,265.5,224.0,31.0
23,2020-01-01 14:45:56,36.97953,-76.17916,1.3,89.6,247.0,31.0
24,2020-01-01 14:48:32,36.97914,-76.17901,3.2,264.9,310.0,31.0
25,2020-01-01 14:50:05,36.98074,-76.18138,7.4,302.3,304.0,31.0
26,2020-01-01 14:51:07,36.98165,-76.1839,7.9,290.0,293.0,31.0
