,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselType
0,2020-01-01 14:10:58,36.93529,-76.04234,23.9,74.1,511.0,90.0
1,2020-01-01 14:12:00,36.93709,-76.03415,23.9,76.0,511.0,90.0
2,2020-01-01 14:13:01,36.938,-76.02572,24.2,91.1,511.0,90.0
3,2020-01-01 14:14:02,36.93725,-76.01746,24.2,99.6,511.0,90.0
4,2020-01-01 14:15:04,36.93585,-76.00894,24.5,101.0,511.0,90.0
5,2020-01-01 14:16:06,36.93442,-76.00043,24.8,105.1,511.0,90.0
6,2020-01-01 14:17:07,36.93259,-75.99199,24.5,106.0,511.0,90.0
7,2020-01-01 14:18:08,36.9308,-75.98377,24.5,105.0,511.0,90.0
8,2020-01-01 14:19:11,36.92882,-75.97507,24.4,106.0,511.0,90.0
9,2020-01-01 14:20:13,36.92679,-75.96676,24.2,108.9,511.0,90.0
10,2020-01-01 14:21:14,36.9248,-75.9587,23.9,105.6,511.0,90.0
11,2020-01-01 14:22:15,36.92299,-75.95025,23.9,105.9,511.0,90.0
12,2020-01-01 14:23:16,36.92107,-75.94209,24.7,108.0,511.0,90.0
13,2020-01-01 14:24:18,36.91917,-75.93367,24.5,104.9,511.0,90.0
14,2020-01-01 14:25:19,36.91727,-75.92522,24.5,106.6,511.0,90.0
15,2020-01-01 14:26:53,36.91382,-75.9129,24.9,122.9,511.0,90.0
16,2020-01-01 14:27:55,36.91677,-75.91036,11.8,312.9,511.0,90.0
17,2020-01-01 14:28:59,36.91864,-75.91243,8.6,324.1,511.0,90.0
18,2020-01-01 14:30:02,36.92042,-75.9144,9.2,295.3,511.0,90.0
19,2020-01-01 14:31:04,36.92128,-75.92086,19.0,276.9,511.0,90.0
20,2020-01-01 14:32:06,36.92199,-75.92781,19.7,278.8,511.0,90.0
21,2020-01-01 14:34:05,36.92349,-75.94109,19.0,278.3,511.0,90.0
22,2020-01-01 14:35:17,36.92447,-75.94907,19.0,278.9,511.0,90.0
23,2020-01-01 14:36:24,36.92565,-75.95626,19.8,283.3,511.0,90.0
24,2020-01-01 14:38:53,36.92826,-75.97295,19.7,281.0,511.0,90.0
25,2020-01-01 14:40:41,36.93,-75.98503,19.6,280.8,511.0,90.0
26,2020-01-01 14:42:23,36.93283,-75.99601,20.2,292.4,511.0,90.0
27,2020-01-01 14:43:41,36.93529,-76.00443,19.7,284.0,511.0,90.0
28,2020-01-01 14:44:47,36.93725,-76.01165,20.4,290.2,511.0,90.0
29,2020-01-01 14:46:05,36.9393,-76.0204,19.9,282.1,511.0,90.0
30,2020-01-01 14:48:17,36.93802,-76.03575,20.6,257.2,511.0,90.0
31,2020-01-01 14:49:35,36.93568,-76.04465,20.8,247.8,511.0,90.0
32,2020-01-01 14:51:11,36.93206,-76.05526,21.1,240.6,511.0,90.0
33,2020-01-01 14:52:17,36.92931,-76.06247,20.8,247.7,511.0,90.0
34,2020-01-01 14:53:30,36.92645,-76.07046,21.0,247.3,511.0,90.0
35,2020-01-01 14:54:35,36.92355,-76.0777,21.3,242.7,511.0,90.0
36,2020-01-01 14:57:30,36.91201,-76.09129,23.2,190.1,511.0,90.0
37,2020-01-01 14:58:32,36.90796,-76.0921,8.4,184.3,511.0,90.0
38,2020-01-01 14:59:33,36.90664,-76.09053,6.8,92.6,511.0,90.0
39,2020-01-01 15:00:00,36.90661,-76.08954,6.3,98.8,511.0,90.0
40,2020-01-01 15:01:02,36.90664,-76.08848,2.6,305.8,511.0,90.0
41,2020-01-01 15:02:09,36.90667,-76.0885,0.0,143.2,511.0,90.0
42,2020-01-01 15:03:20,36.90669,-76.08851,0.1,165.9,511.0,90.0
43,2020-01-01 15:04:29,36.90668,-76.08851,0.1,163.6,511.0,90.0
44,2020-01-01 15:05:30,36.90669,-76.08852,0.1,187.7,511.0,90.0
45,2020-01-01 15:06:39,36.90669,-76.08852,0.1,194.5,511.0,90.0
46,2020-01-01 15:07:49,36.90669,-76.08853,0.0,183.9,511.0,90.0
47,2020-01-01 15:08:59,36.90671,-76.08854,0.1,170.7,511.0,90.0
