,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselType
0,2020-01-01 14:11:08,36.8878,-75.87744,9.0,315.8,316.0,70.0
1,2020-01-01 14:12:18,36.88993,-75.87994,8.9,318.2,317.0,70.0
2,2020-01-01 14:13:28,36.89211,-75.8823,8.9,318.8,318.0,70.0
3,2020-01-01 14:15:08,36.89517,-75.8857,8.8,317.8,317.0,70.0
4,2020-01-01 14:16:18,36.89728,-75.88803,8.7,318.6,318.0,70.0
5,2020-01-01 14:18:07,36.90063,-75.89168,8.7,318.8,318.0,70.0
6,2020-01-01 14:19:17,36.90277,-75.89398,8.6,319.5,318.0,70.0
7,2020-01-01 14:20:28,36.90492,-75.89628,8.5,319.8,318.0,70.0
8,2020-01-01 14:21:38,36.90699,-75.89861,8.3,316.1,315.0,70.0
9,2020-01-01 14:23:18,36.90974,-75.90186,8.4,316.6,315.0,70.0
10,2020-01-01 14:24:57,36.9126,-75.90516,8.3,317.6,315.0,70.0
11,2020-01-01 14:26:18,36.91495,-75.90784,8.3,316.3,315.0,70.0
12,2020-01-01 14:27:47,36.91754,-75.91077,8.3,316.7,315.0,70.0
13,2020-01-01 14:28:58,36.91961,-75.9131,8.3,317.7,315.0,70.0
14,2020-01-01 14:30:07,36.92152,-75.91546,8.2,313.6,310.0,70.0
15,2020-01-01 14:31:38,36.92365,-75.91888,8.2,307.2,305.0,70.0
16,2020-01-01 14:33:17,36.92588,-75.9227,8.3,305.3,305.0,70.0
17,2020-01-01 14:35:38,36.92877,-75.92855,8.4,300.1,300.0,70.0
18,2020-01-01 14:36:58,36.93037,-75.93197,8.5,300.2,300.0,70.0
19,2020-01-01 14:38:38,36.93237,-75.93617,8.5,301.4,300.0,70.0
20,2020-01-01 14:40:08,36.93424,-75.93999,8.6,300.7,300.0,70.0
21,2020-01-01 14:42:08,36.93675,-75.94509,8.7,301.2,300.0,70.0
22,2020-01-01 14:45:08,36.94074,-75.95317,9.4,301.7,300.0,70.0
23,2020-01-01 14:46:57,36.94333,-75.95835,9.6,302.2,300.0,70.0
24,2020-01-01 14:47:58,36.94479,-75.96127,9.6,301.5,300.0,70.0
25,2020-01-01 14:51:17,36.94971,-75.9708,9.7,302.9,300.0,70.0
26,2020-01-01 14:52:57,36.95221,-75.97556,9.8,302.6,300.0,70.0
27,2020-01-01 14:54:17,36.95411,-75.97945,9.8,299.7,300.0,70.0
28,2020-01-01 14:55:38,36.95598,-75.98341,9.7,300.2,300.0,70.0
29,2020-01-01 14:57:38,36.95951,-75.98834,9.2,321.6,324.0,70.0
30,2020-01-01 14:58:48,36.96212,-75.99052,9.9,331.8,332.0,70.0
31,2020-01-01 14:59:58,36.96509,-75.99242,10.8,333.6,333.0,70.0
32,2020-01-01 15:00:08,36.9655,-75.99268,11.0,333.4,333.0,70.0
33,2020-01-01 15:01:17,36.96892,-75.99478,12.1,333.6,333.0,70.0
34,2020-01-01 15:02:19,36.9722,-75.99681,13.0,333.2,333.0,70.0
35,2020-01-01 15:03:28,36.97607,-75.9992,13.7,333.7,333.0,70.0
36,2020-01-01 15:04:38,36.98018,-76.00175,14.3,333.1,333.0,70.0
37,2020-01-01 15:05:44,36.98414,-76.00425,14.6,331.4,330.0,70.0
38,2020-01-01 15:07:02,36.98795,-76.0086,14.4,310.0,310.0,70.0
39,2020-01-01 15:08:08,36.99106,-76.0126,14.7,316.1,317.0,70.0
40,2020-01-01 15:09:14,36.99434,-76.01655,15.0,314.8,314.0,70.0
