,LAT,LON,SOG,COG,Heading,VesselType
2020-01-01 14:10:00,36.93529,-76.04234,23.9,74.1,511.0,90.0
2020-01-01 14:10:30,36.93529,-76.04234,23.9,74.1,511.0,90.0
2020-01-01 14:11:00,36.93529,-76.04234,23.9,74.1,511.0,90.0
2020-01-01 14:11:30,36.93709,-76.03415,23.9,76.0,511.0,90.0
2020-01-01 14:12:00,36.93709,-76.03415,23.9,76.0,511.0,90.0
2020-01-01 14:12:30,36.93709,-76.03415,23.9,76.0,511.0,90.0
2020-01-01 14:13:00,36.938,-76.02572,24.2,91.1,511.0,90.0
2020-01-01 14:13:30,36.938,-76.02572,24.2,91.1,511.0,90.0
2020-01-01 14:14:00,36.93725,-76.01746,24.2,99.6,511.0,90.0
2020-01-01 14:14:30,36.93725,-76.01746,24.2,99.6,511.0,90.0
2020-01-01 14:15:00,36.93585,-76.00894,24.5,101.0,511.0,90.0
2020-01-01 14:15:30,36.93585,-76.00894,24.5,101.0,511.0,90.0
2020-01-01 14:16:00,36.93442,-76.00043,24.8,105.1,511.0,90.0
2020-01-01 14:16:30,36.93442,-76.00043,24.8,105.1,511.0,90.0
2020-01-01 14:17:00,36.93259,-75.99199,24.5,106.0,511.0,90.0
2020-01-01 14:17:30,36.93259,-75.99199,24.5,106.0,511.0,90.0
2020-01-01 14:18:00,36.9308,-75.98377,24.5,105.0,511.0,90.0
2020-01-01 14:18:30,36.9308,-75.98377,24.5,105.0,511.0,90.0
2020-01-01 14:19:00,36.92882,-75.97507,24.4,106.0,511.0,90.0
2020-01-01 14:19:30,36.92882,-75.97507,24.4,106.0,511.0,90.0
2020-01-01 14:20:00,36.92679,-75.96676,24.2,108.9,511.0,90.0
2020-01-01 14:20:30,36.92679,-75.96676,24.2,108.9,511.0,90.0
2020-01-01 14:21:00,36.9248,-75.9587,23.9,105.6,511.0,90.0
2020-01-01 14:21:30,36.9248,-75.9587,23.9,105.6,511.0,90.0
2020-01-01 14:22:00,36.92299,-75.95025,23.9,105.9,511.0,90.0
2020-01-01 14:22:30,36.92299,-75.95025,23.9,105.9,511.0,90.0
2020-01-01 14:23:00,36.92107,-75.94209,24.7,108.0,511.0,90.0
2020-01-01 14:23:30,36.92107,-75.94209,24.7,108.0,511.0,90.0
2020-01-01 14:24:00,36.91917,-75.93367,24.5,104.9,511.0,90.0
2020-01-01 14:24:30,36.91917,-75.93367,24.5,104.9,511.0,90.0
2020-01-01 14:25:00,36.91727,-75.92522,24.5,106.6,511.0,90.0
2020-01-01 14:25:30,36.91727,-75.92522,24.5,106.6,511.0,90.0
2020-01-01 14:26:00,36.91727,-75.92522,24.5,106.6,511.0,90.0
2020-01-01 14:26:30,36.91382,-75.9129,24.9,122.9,511.0,90.0
2020-01-01 14:27:00,36.91382,-75.9129,24.9,122.9,511.0,90.0
2020-01-01 14:27:30,36.91677,-75.91036,11.8,312.9,511.0,90.0
2020-01-01 14:28:00,36.91677,-75.91036,11.8,312.9,511.0,90.0
2020-01-01 14:28:30,36.91864,-75.91243,8.6,324.1,511.0,90.0
2020-01-01 14:29:00,36.91864,-75.91243,8.6,324.1,511.0,90.0
2020-01-01 14:29:30,36.91864,-75.91243,8.6,324.1,511.0,90.0
2020-01-01 14:30:00,36.92042,-75.9144,9.2,295.3,511.0,90.0
2020-01-01 14:30:30,36.92042,-75.9144,9.2,295.3,511.0,90.0
2020-01-01 14:31:00,36.92128,-75.92086,19.0,276.9,511.0,90.0
2020-01-01 14:31:30,36.92128,-75.92086,19.0,276.9,511.0,90.0
2020-01-01 14:32:00,36.92199,-75.92781,19.7,278.8,511.0,90.0
2020-01-01 14:32:30,36.92199,-75.92781,19.7,278.8,511.0,90.0
2020-01-01 14:33:00,36.92199,-75.92781,19.7,278.8,511.0,90.0
2020-01-01 14:33:30,36.92349,-75.94109,19.0,278.3,511.0,90.0
2020-01-01 14:34:00,36.92349,-75.94109,19.0,278.3,511.0,90.0
2020-01-01 14:34:30,36.92349,-75.94109,19.0,278.3,511.0,90.0
2020-01-01 14:35:00,36.92447,-75.94907,19.0,278.9,511.0,90.0
2020-01-01 14:35:30,36.92447,-75.94907,19.0,278.9,511.0,90.0
2020-01-01 14:36:00,36.92565,-75.95626,19.8,283.3,511.0,90.0
2020-01-01 14:36:30,36.92565,-75.95626,19.8,283.3,511.0,90.0
2020-01-01 14:37:00,36.92565,-75.95626,19.8,283.3,511.0,90.0
2020-01-01 14:37:30,36.92565,-75.95626,19.8,283.3,511.0,90.0
2020-01-01 14:38:00,36.92826,-75.97295,19.7,281.0,511.0,90.0
2020-01-01 14:38:30,36.92826,-75.97295,19.7,281.0,511.0,90.0
2020-01-01 14:39:00,36.92826,-75.97295,19.7,281.0,511.0,90.0
2020-01-01 14:39:30,36.92826,-75.97295,19.7,281.0,511.0,90.0
2020-01-01 14:40:00,36.93,-75.98503,19.6,280.8,511.0,90.0
2020-01-01 14:40:30,36.93,-75.98503,19.6,280.8,511.0,90.0
2020-01-01 14:41:00,36.93,-75.98503,19.6,280.8,511.0,90.0
2020-01-01 14:41:30,36.93,-75.98503,19.6,280.8,511.0,90.0
2020-01-01 14:42:00,36.93283,-75.99601,20.2,292.4,511.0,90.0
